title,location,description,date
Texas A&amp;M University Men’s Tennis at ITA All-American Championship,"Tulsa, Okla., Michael D. Case Tennis Center",,September 26
Texas A&amp;M University Women’s Tennis at ITA All-American Championship,"Cary, N.C., Cary Tennis Park",,September 26
Texas A&amp;M University Women’s Tennis at ITA All-American Championship,"Cary, N.C., Cary Tennis Park",,September 26
Texas Family Support Group,Online Virtual Meeting for all of Texas,,September 26
Thrifted Religion,"J. Wayne Stark Galleries, Education Gallery","
  “Thrifted Religion” invites viewers to explore the breadth of spiritual traditions found in Aggieland and East Texas through the common and unique religious objects found at local secondhand shops.
",September 26
Thrifted Religion,"J. Wayne Stark Galleries, Education Gallery","
  “Thrifted Religion” invites viewers to explore the breadth of spiritual traditions found in Aggieland and East Texas through the common and unique religious objects found at local secondhand shops.
",September 26
Transit Fall Service,Memorial Student Center,"
  Weekday Service Hours &#160;7:00 AM - Midnight
  Weekend Service Hours &#160;9:00 AM - 6:00 PM
",September 26
Virtual Walk Challenge,,"
  Walk Through Texas History during our 4-week virtual walk challenge.
",September 26
State Employee Charitable Campaign,Across campus,"The State Employee Charitable Campaign (SECC) is an opportunity for state employees to donate to charities through payroll deductions.&#160; Between Sept. 1 and Oct 31, employees can designate dollars as a one-time gift or monthly to 24 local charities and more than 1,000 nationally.&#160;&#160;",September 26
Southside Rec Center Hours,,,September 26
Student Rec Center Hours,,,September 26
Lap Pool,,,September 26
Polo Road Hours,,,September 26
Operating Hours,,,September 26
ASCC 003,"Evans 105: Whitley Suite, Evans Library",,September 26
ASCC 001,"Evans 202A, Evans Library",,September 26
Managers’ Minutes - Deep Dive: Cultivating Performance: Mastering the Use of Check-In Questions,Virtual,"
  Cultivating Performance: Mastering the Use of Check-In Questions
",September 26
50 Meter,,,September 26
Cafe y Conversacion,Appellate Courtroom,"
  Join the “The Latino Electorate: Shaping Texas Politics” panelists for “cafe y conversacion” in the Appellate Courtroom on Sept. 26 from 9:30 to 10:30 am.
",September 26
Peerceptiv’s New Features for Peer Assessment,Zoom,"
  Facilitators: Megan Reiley, Peerceptiv
  Dr. Armanto Sutedjo, Center for Teaching Excellence


  Description: Peerceptiv is a peer collaboration tool that facilitates peer review and team member evaluation assignments to boost student engagement and student learning outcomes. This webinar will introduce some of the new features for Fall 2024 like additional instructor grading functionality, more options for assigning reviewers, and team member evaluation enhancements that allow for 360 reviews and an automated student-centered group formation tool. Hear how others at Texas A&amp;M have used the tool and how you can add it to your Canvas course.


  Learning Outcomes:


  Describe Peerceptiv new features for enhancing students learning experience
  
  Explore potential use of the new features for designing a robust peer review assessment strategy
  
&#160;Register Here: https://ers.tamu.edu/register.aspx?ScheduleId=43155",September 26
Roundtable: Rene Rocha,Liberal Arts and Arts &amp; Humanities Building,"
  AMA style discussion about how to succeed doing race and ethnic studies scholarship in academia
",September 26
AGLS Career Center Tabling,Agriculture and Life Sciences Building,"
  In-Person Event
",September 26
AGLS Career Center Tabling,Agriculture and Life Sciences Building,"
  In-Person Event
",September 26
Business Career Fair Hosted by Business Student Council,Kyle Field - Hall of Champions,,September 26
Business Career Fair - Day 2 (in-person),Kyle Field - Hall of Champions,"
  https://www.mayscareerfair.com/
",September 26
Business Career Fair - Day 2 (in-person),Kyle Field - Hall of Champions,"
  https://www.mayscareerfair.com/
",September 26
Business Student Council Career Fair,"161 Wellborn Rd, College Station, TX 77840",,September 26
The 12th Can Pantry Opening,"330 Agronomy Rd, College Station, TX 77843",,September 26
Physics Show,,,September 26
Affirmation Bracelets,Higher Education Center at McAllen,"
  Creativity means positivity.
",September 26
2024 CAFRT Orientation (Option #2),Rudder Tower,,September 26
Hazing Prevention Week: DoNut Haze (MSC),MSC,"
  Stop by our table in the MSC for a free donut and to learn about hazing prevention!
",September 26
Hazing Prevention Week: DoNut Haze (MSC),MSC,"
  Stop by our table in the MSC for a free donut and to learn about hazing prevention!
",September 26
Albert Schweitzer Fellowship Houston - Galveston Informational,School of Public Health - Classroom Bldg,,September 26
ECE Distinguished Speaker Seminar: “Flexible Multifunctional Wide-Bandgap Semiconductor Materials and Devices for Energy and Sensing Applications”,Wisenbaker Engineering Building,"
  Jae-Hyun Ryou, Ph.D.
  Associate Professor
  Department of Mechanical Engineering
  Department of Electrical and Computer Engineering,
  Materials Science and Engineering Program,
  Texas Center for Superconductivity at the University of Houston (TcSUH),
  Advanced Manufacturing Institute (AMI)
  University of Houston
",September 26
HIST 280 (Dror),"Annex 405A , Library Annex",,September 26
Howdy Week Photo on the Front Steps,School of Law Front Steps,"
  Howdy Week Photo on the Front Steps
  Thursday, September 26
  12:00 p.m.
  Front Steps
",September 26
APhA Substance Abuse Committee Meeting,REYN 160; PHARM 115,,September 26
Graduate Consulting Career Series 4: Communicating Like a Consultant and Case Interview Introduction,,"
  Hybrid event: Both in-person (Nagle Hall) and online at tx.ag/Con4&#160;
",September 26
Career Center presents: Graduate Consulting Career Series 4: Communicating Like a Consultant and Case Interview Introduction,,"
  Online event: tx.ag/Con4&#160;
",September 26
St. Thomas More Society Bi-weekly Meeting,Rm 104,"
  St. Thomas More Society Bi-weekly Meeting
  Every other Thursday
  12-1pm
  Room 104
",September 26
The Latino Electorate: Shaping Texas Politics,Lecture Hall,"
  The Latino Electorate: Shaping Texas Politics
  Thursday, September 26, 2024
  12-1pm
  Lecture Hall or Zoom
  Registration required
",September 26
SHIP Fundraising Luncheon,The College Station Hilton,,September 26
TXRDC Data In Action Series: September Seminar and Workshop,Teague Research Center,"
  Dr. Michael Lotspeich-Yadao from University of Illinois, Urbana-Champain will talk about machine learning to generate neighborhood definitions (9/26) and offer a workshop on machine learning for socio-demographic researchers (9/26-27).
",September 26
RC Open,,,September 26
Outdoor Pool,,,September 26
Rene Rocha: Does Immigration Enforcement Encourage Self-deportation?,Liberal Arts and Arts &amp; Humanities Building,"
  RESI Speaker Series featuring Rene Rocha
",September 26
3MT Development Session: Developing Your Research Elevator Pitch,Zoom or Nagle Hall,"
  This session will explore the elevator pitch, a short description of a concept that any listener can understand. We will focus on the research elevator pitch, with tips on how to develop an outline, how to make the most of a visual (for elevator pitch-style competitions at conferences, the Three Minute Thesis competition, or poster presentations) and how aspects of your physical presentation (movement, voice) can increase your listener’s understanding.


  Attending this event and completing the reflection in Canvas is worth 1 PDU towards a GRAD Aggies Professional Development Certificate for graduate &amp; professional students. Visit grad-aggies.tamu.edu to join.
  


  Registration Link: 3MT (tamu.edu)
  
",September 26
Howdy Week - Popsicle Truck,Howdy Lot,"
  Howdy Week - Popsicle Truck
  Thursday, September 26
  12:30 – 2:30 p.m.
  Howdy Lot
",September 26
Dissertation Defense - Robert Kyle Phillips,Small Animal Hospital,"
  “A search for novel biomarkers of liver disease in dogs.”
",September 26
Beginner’s Paleography: A Hands-On Demonstration,Evans Library Annex,"
  Early Modern Studies Working Group
  Lucas Tucker, Scribe and Master Chemist | Scribal Work Shop
",September 26
Beginner’s Paleography: A Hands-On Demonstration,Evans Library Annex,"
  Early Modern Studies Working Group
  Lucas Tucker, Scribe and Master Chemist | Scribal Work Shop
",September 26
Texas A&amp;M Chemistry Road Show,"Brazos Middle School, 702 Educator Ln, Wallis 77485",,September 26
ASCC Tutoring,"Evans 105: Whitley Suite, Evans Library",,September 26
3MT Development Session: Fine Tuning Your Oral Presentation Skills,Zoom or Nagle Hall,"
  This session will focus on the fundamentals of public speaking including how to communicate effectively with your voice, body, and words. Specific topics will include voice volume and speed, physical posture and gestures, and presentation organization. Students will view and discuss examples of effective 3MT presentations in addition to practicing their presentations with peers. Participating students should bring their 3MT presentation outlines.


  Attending this event and completing the reflection in Canvas is worth 1 PDU towards a GRAD Aggies Professional Development Certificate for graduate &amp; professional students. Visit grad-aggies.tamu.edu to join.
  


  Registration Link: 3MT (tamu.edu)
",September 26
Stress Management Presentation,Student Services Building,"
  Learn how to manage stress, decrease burnout, and adopt positive self-care techniques.
",September 26
Texas A&amp;M University Libraries Recruitment Information Session,Online,,September 26
Workshop Series: Overcoming Perfectionism,,"
  UNIVERSITY HEALTH SERVICES &amp; THE COLLEGE OF ENGINEERING PRESENT: Workshops designed specifically for the concerns &amp; needs of engineering students.
  
",September 26
Texas A&amp;M University Libraries Recruitment Information Session,Zoom,,September 26
Math Learning Center Tutoring,"Evans 204E, Evans Library",,September 26
Lap Pool,,,September 26
ASCC 002,"Evans 204B , Evans Library",,September 26
ENGL 374 Library Visit (Sperrazza),"Annex 652, Library Annex",,September 26
BMEN 681 Seminar: Suspended Animation of Complex Systems for Research and Clinic,Emerging Technologies Building,"
  Dr. Shannon Tessier, assistant professor of surgery at Harvard Medical School, will discuss leveraging scientific advances from comparative biology, cryobiology, disease modeling, and synthetic biology and augment these with lessons from nature to develop new biopreservation technologies.
",September 26
3MT Development Session: Tips for English Pronunciation and Delivery,Zoom or Nagle Hall,"
  This session presents the key components of comprehensible speech in American English including word stress, phrasing, linking, and intonation. Participants will learn that accented speech is not necessarily incomprehensible speech and will discover techniques for enhancing their comprehensibility.


  Attending this event and completing the reflection in Canvas is worth 1 PDU towards a G.R.A.D. Aggies Professional Development Certificate for graduate &amp; professional students. Visit grad-aggies.tamu.edu to join.
  


  Registration Link: 3MT (tamu.edu)


  
  
",September 26
OPSA Portal Workshop,Virtual,"
  Register here!
",September 26
Education Abroad Trip Leader Briefing,,"
  All faculty, staff, TAs, and others leading a program abroad are required to attend a Trip Leader Briefing with Education Abroad once per year. This briefing provides an overview of the support available to faculty and staff abroad, roles &amp; responsibilities, and emergency protocols. Leaders can attend this session either in-person or virtually (Teams).


  Please register for the session here:


  https://tx.ag/TripLeaderBriefingDates
",September 26
OPSA Portal Workshop,Virtual,"
  Register here!
",September 26
ICF Open,,,September 26
CLGV 001 (Noack),"121A, Galveston",,September 26
Colloquium: Jeremiah Murphy,Mitchell Institute for Fundamental Physics &amp; Astronomy,,September 26
Job Market Candidate - Daniel Gomez Vasquez,Liberal Arts Social Sciences Building,Job Market Candidate will give a seminar entitled “Hiring in a Diverse Labor Market: Spillovers Across Minority Groups” at 4 pm in LASB 146.,September 26
AERO - (AESS) Multiscale modelling framework for the mechanical properties of illite,H.J. (Bill) and Reta Haynes Engineering Building (HEB),"
  Dr. Hejian Zhu
  Assistant Professor, Aerospace Engineering
  Texas A&amp;M University
",September 26
Entomology Departmental Seminar: Bianca Kojin Burini,Heep Center,"
  The Department of Entomology at Texas A&amp;M University presents the Fall 2024 In Person/Virtual Seminar Series from 4-5 p.m. every Thursday in Room 103 of the Heep Center.
",September 26
Demonstrating Research Impact: Metrics and Responsible Use,Online,,September 26
POLS 206 &amp; 207 Tutoring (Haney),"108B, Galveston",,September 26
McLennan County Harvest Celebration,"Tonkawa Falls Civic Center, 8542 E. 4th St., Crawford","
  The Texas A&amp;M AgriLife Extension Service office in McLennan County is hosting its fourth annual McLennan County Harvest Celebration.
",September 26
Barbershop Talk,Hullabaloo,"
  Connection and Conversation
",September 26
CANCELED: Barbershop Talk,Hullabaloo,"
  Connection and Conversation
",September 26
Penberthy North Hours,,,September 26
Penberthy South Hours,,,September 26
PEAP Hours,,,September 26
Cooking well with diabetes,"4224 Cobbs Drive, Waco","
  The Texas A&amp;M AgriLife Extension Service will host a “Cooking Well with Diabetes” series of classes.
",September 26
50 Meter,,,September 26
Hispanic Heritage Month Festival,Amphitheater in Aggie Park,,September 26
MS Entrepreneurial Leadership Informational Session (Virtual),,"
  RSVP to Informational Session


  Both the On-Campus and Flex Online&#160;modalities will be covered.
",September 26
Harry Potter And The Half-Blood Prince Movie Night,Stage 12 at Brookshire Brothers - 455 George Bush Dr W,,September 26
2024 Faculty Affairs Leadership Fellows Dinner,Annenberg Presidential Conference Center,,September 26
Omar Smith Tennis Center Hours,,,September 26
Aggie Book Club,"Annex 405C , Library Annex",,September 26
Sailing - Meeting,"Student Recreation Center, 187 Corrington Dr, College Station, TX 77843, USA",,September 26
Texas A&amp;M Speech and Debate Team Meeting,Rudder 404,,September 26
Sailing - Meeting,"Student Recreation Center, 187 Corrington Dr, College Station, TX 77843, USA",,September 26
Chris Kallmyer | Artist Lecture,Rudder Theatre,"
  The lecture will explore Chris Kallmyer’s practice with a focus on the emerging relationships between audience and performer – artist and community – material and environment. Through this talk we will explore the creative strategies employed by futurist experimentalists, pre-enlightenment collectivists, and the artist’s ongoing site-specific projects on working lands.
",September 26
Texas A&amp;M University Soccer vs Auburn,"Bryan-College Station, Ellis Field",,September 26
Texas A&amp;M University Soccer vs Auburn,"Bryan-College Station, Ellis Field",,September 26
Chris Kallmyer | Artist Lecture,Rudder Theatre,,September 26
Always a Bridesmaid,Unity Theatre,,September 26
Howdy Week - Aggie Night with the Texas Rattlers,Cowtown Coliseum,"
  Howdy Week - Aggie Night with the Texas Rattlers
  Thursday, September 26
  7:45 p.m.
  Cowtown Coliseum | 121 E Exchange Ave, Fort Worth, TX 76164
",September 26
Cycling - Club Monthly Meeting,"Student Recreation Center, 187 Corrington Dr, College Station, TX 77843, USA",,September 26
Cycling - Club Monthly Meeting,"Student Recreation Center, 187 Corrington Dr, College Station, TX 77843, USA",,September 26
Cru Pathways,Rudder 301,,September 26
Always a Bridesmaid,Unity Theatre,,September 27
CLOSED,,,September 27
CLOSED,,,September 27
Free Tutoring,College Hills Baptist Church 712 Churchill Street College Station Texas 77840,,September 27
Inaugural Engineering Art Competition,Zachry Engineering Education Complex,"
  Engineering Art Competition
  Theme: Aggie Engineering: Forging the Future!
  August 19, 2024 - October 4, 2024
  We are excited to host our inaugural art contest exclusively for engineering students! This is your chance to showcase your creativity alongside your technical skills.
",September 27
Open Enrollment – Advanced Upstream Processes: Design and Optimization,National Center for Therapeutics Manufacturing (NCTM),"
  Learning Objectives
  
  • Overview of Cell Culture Principles
  
  • Cell Banking
  
  • Passaging of Adherent and Suspension Cells
  
  • Calculations for Transfection and Infection of Cell Cultures
  
  • Principles of Scale Up
  
  • Feeding Strategies and Recipe Design
  
  • Overview of PID Control Loops
  
  • Cell Culture Issues and Troubleshooting strategies
  
  • Growth Monitoring and Offline Analysis
  
  • Single Use Bioreactor Set up and Inoculation
  
  • Maintenance of Bioanalytical Equipment
  
  • Overview of Clean In Place; 100 liter reusable bioreactor operation; mammalian cell culture clarification by depth filtration; Continuous flow disc stack centrifuge operation.
",September 27
Pattern Recognition,Forsyth Galleries,"
  Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.
",September 27
Pattern Recognition,Forsyth Galleries,Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.,September 27
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",September 27
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",September 27
"Shawn Smith, “Dissonant Data”",Langford Architecture Center Building A,,September 27
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",September 27
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",September 27
Texas A&amp;M University Men’s Tennis at ITA All-American Championship,"Tulsa, Okla., Michael D. Case Tennis Center",,September 27
Texas A&amp;M University Men’s Tennis at ITA All-American Championship,"Tulsa, Okla., Michael D. Case Tennis Center",,September 27
Texas A&amp;M University Women’s Tennis at ITA All-American Championship,"Cary, N.C., Cary Tennis Park",,September 27
Texas A&amp;M University Women’s Tennis at ITA All-American Championship,"Cary, N.C., Cary Tennis Park",,September 27
Texas Family Support Group,Online Virtual Meeting for all of Texas,,September 27
Thrifted Religion,"J. Wayne Stark Galleries, Education Gallery","
  “Thrifted Religion” invites viewers to explore the breadth of spiritual traditions found in Aggieland and East Texas through the common and unique religious objects found at local secondhand shops.
",September 27
Thrifted Religion,"J. Wayne Stark Galleries, Education Gallery","
  “Thrifted Religion” invites viewers to explore the breadth of spiritual traditions found in Aggieland and East Texas through the common and unique religious objects found at local secondhand shops.
",September 27
Transit Fall Service,Memorial Student Center,"
  Weekday Service Hours &#160;7:00 AM - Midnight
  Weekend Service Hours &#160;9:00 AM - 6:00 PM
",September 27
Virtual Walk Challenge,,"
  Walk Through Texas History during our 4-week virtual walk challenge.
",September 27
State Employee Charitable Campaign,Across campus,"The State Employee Charitable Campaign (SECC) is an opportunity for state employees to donate to charities through payroll deductions.&#160; Between Sept. 1 and Oct 31, employees can designate dollars as a one-time gift or monthly to 24 local charities and more than 1,000 nationally.&#160;&#160;",September 27
Polo Road Hours,,,September 27
Lap Pool,,,September 27
Operating Hours,,,September 27
Southside Rec Center Hours,,,September 27
Student Rec Center Hours,,,September 27
ASCC 004,"Evans 105: Whitley Suite, Evans Library",,September 27
ASCC 001,"Evans 202A, Evans Library",,September 27
2024 Zorich’s Reliability Workshop,Rudder Tower,"
  Join us to hear our speakers’ top insights on reliability and related topics. Connect, learn, and share knowledge. Students and postdocs are encouraged to apply to the poster session (limited spots available).
",September 27
Water Ski - SCR Regionals,"Katy, TX, USA",,September 27
Pesticide applicator recertification program,Brazos County Extension Office,"
  The Texas A&amp;M AgriLife Extension Service will host a pesticide applicator recertification program in Bryan.&#160;
",September 27
BIOL 111 Library Visit (Hochman),"121A, Galveston",,September 27
TAMUS HR On-Site Visit,"RIC, Room 345",,September 27
RC Open,,,September 27
ASCC 002,"Evans 204B , Evans Library",,September 27
Digital Accessibility Series: 2 Creating Accessible Content with Word and PowerPoint,Zoom,"
  Facilitators: Carlos Perez, Center for Teaching Excellence
  Dr. Jamie Thompson, Center for Teaching Excellence


  Quick Bites: Professional Development in 30 Minutes. Elevate your document accessibility skills with this second workshop of the Digital Accessibility Tidbits Series. Participants will explore common accessibility challenges in Word and PowerPoint files and gain hands-on experience with practical remediation techniques. Learn to utilize built-in accessibility checkers, apply effective formatting strategies, and ensure your documents and presentations meet accessibility standards.


  Learning Outcomes:


  Participants will be able to…


  1. Identify common accessibility issues in Word and PowerPoint documents.


  2. Apply best practices to remediate and enhance the accessibility of Word and PowerPoint files.


  3. Evaluate the accessibility of documents using built-in accessibility checkers.
  
  Register Here: https://ers.tamu.edu/register.aspx?scheduleid=43065&#160;
",September 27
Fostering Independence in Mentoring,Zoom,"
  Facilitators: Clint Patterson, Center for Teaching Excellence


  Description: One of seven shared competencies through the Graduate Mentoring Academy.


  Learning Outcomes:


  
    
      Define independence, its core elements, and how those elements change over the course of a mentoring relationship 2. Employ various strategies to build mentee confidence, establish trust, and foster independence 3. Identify the benefits and challenges of fostering independence, including the sometimes conflicting goals of fostering independence and achieving grant-funded research objectives
    
  


  Register Here: https://gradconnect.tamu.edu/register/?id=d616bab2-e9b5-4727-bdcf-f9ca36e452e9&#160;
",September 27
PG&amp;E Corporation Distinguished Lecture Series: Hyunseob Kim,Wehner Building,"
  The PG&amp;E Corporation Distinguished Lecture Series is the regular seminar series of the Finance Department. We invite leading researchers in finance and related fields around the world. Seminar Coordinators Committee: Fulin Li, Andrew Fieldhouse, and Jing Huang
  
  September 6th Yujie Ruan Texas A&amp;M
  September 20th Toshi Fukui Texas A&amp;M
  September 27th Hyunseob Kim Chicago Fed
  October 4th Haneul Yi Texas A&amp;M
  October 11th Sebastian Hillenbrand Harvard
  November 8th Matt Gustafson Penn State
  November 15th John Leonardy Texas A&amp;M
",September 27
Adaptive Climbing with Outdoor Adventures - Session 2,Student Recreation Center,"
  Adaptive Climbing is designed for folks looking to start climbing who may require some adaptation to the climbing setup. Rec Sports staff and or adaptive climbing enthusiasts will meet with patrons who signed up, work through various adaptive set-ups and rigging adjustments to make climbing the right challenge for you. We ask for your patience and for your voice/input. Tell us what you think will work, tell us if something we are trying isn’t working, if the climb is still too tough or the adaptation has removed the challenge. Be ready to tell us your thoughts; we’re here to get you climbing.
",September 27
Adaptive Climbing with Outdoor Adventures - Session 2,Student Recreation Center,"
  Adaptive Climbing is designed for folks looking to start climbing who may require some adaptation to the climbing setup. Rec Sports staff and or adaptive climbing enthusiasts will meet with patrons who signed up, work through various adaptive set-ups and rigging adjustments to make climbing the right challenge for you. We ask for your patience and for your voice/input. Tell us what you think will work, tell us if something we are trying isn’t working, if the climb is still too tough or the adaptation has removed the challenge. Be ready to tell us your thoughts; we’re here to get you climbing.
",September 27
HCHS Library Visit (McLane),"Annex 405B, Library Annex",,September 27
"ECE CESG Seminar: “Neural Inference at the Frontier of Energy, Space, and Time”",Emerging Technologies Building,"
  Pallab Datta
  Senior Research Scientist, Brain-Inspired Computing @ IBM
",September 27
Beginner’s Paleography: A Hands-On Demonstration,Evans Library Annex,"
  Early Modern Studies Working Group
  
  Lucas Tucker, Scribe and Master Chemist | Scribal Work Shop
",September 27
Beginner’s Paleography: A Hands-On Demonstration,Evans Library Annex,"
  Early Modern Studies Working Group
  Lucas Tucker, Scribe and Master Chemist | Scribal Work Shop
",September 27
Physics Show,,,September 27
Student Learning Orientation,,"
  Join the Committee on Student Learning for our first Student Learning Orientation of the semester! Melanie McKoin Owens, Ph.D.(she/her), assistant director in Student Life will be leading a workshop on writing student learning outcomes and planning assessments. Discover how using student learning outcomes can guide how to design content and event planning. Plus, how to leverage assessment to grow and enhance events, programs, and initiatives.
  
  To attend, please RSVP: https://tamu.qualtrics.com/jfe/form/SV_1B8y4n1twYFAJOC
",September 27
Student Learning Orientation,,"
  Join the Committee on Student Learning for our first Student Learning Orientation of the semester! Melanie McKoin Owens, Ph.D.(she/her), assistant director in Student Life will be leading a workshop on writing student learning outcomes and planning assessments. Discover how using student learning outcomes can guide how to design content and event planning. Plus, how to leverage assessment to grow and enhance events, programs, and initiatives.
  
  To attend, please RSVP: https://tamu.qualtrics.com/jfe/form/SV_1B8y4n1twYFAJOC
",September 27
IBT Kelsey Lecture Seminar Series Presents Dr. John LaCava,"IBT, Alkek Building, Boardroom","Join us for a Special Kelsey Lecture Seminar Series. Dr. John LaCava, Research Associate Professor, Laboratory of Cellular and Structural Biology at The Rockefeller University will present, “LINE-1 Retrotransposons: Assays, Interactions, and Mechanisms.”",September 27
Staff Good Bull Get-Together,SPHA,,September 27
Hazing Prevention Week: DoNut Haze (Rudder Plaza),Rudder Plaza,"
  Stop by our table in the Rudder Plaza for a free donut and to learn about hazing prevention!
",September 27
Hazing Prevention Week: DoNut Haze (Rudder Plaza),Rudder Plaza,"
  Stop by our table in the Rudder Plaza for a free donut and to learn about hazing prevention!
",September 27
Meeting for New Modern British Studies,LAAH,"
  In this year’s first NMBS meeting, faculty and graduate students will be reading and discussing a chapter from a recent book on physical disability in British Romantic literature.&#160;
",September 27
Meeting for New Modern British Studies,LAAH,,September 27
ECE Energy &amp; Power Group Seminar: CyberDep: Enhanced Generation of Bayesian Networks Through the Inclusion of Bidirectional Data Flow Dependencies in Cyber-Physical Power Systems,Zachry Engineering Education Complex,"
  Leen Al Homoud
  Ph.D. Student
  Electrical &amp; Computer Engineering
  Texas A&amp;M University
",September 27
BIOL 111 Library Visit (Hochman),"121A, Galveston",,September 27
Conversation Circle,Blocker Building,"
  Register Here: https://ers.tamu.edu/event/7534
  
  Facilitators: Maria Hernandez, CTE-ELP Student Worker


  Description: Conversation Circle is a supportive space for practicing spoken English through group discussions on cultural topics, including American university culture. Participants improve spontaneous speaking, active listening, and conversational turn-taking. Through communication with speakers from a variety backgrounds, they acclimate to different accents. The sessions promote social connections, intercultural dialogue, and a sense of belonging. The goal is to enhance English fluency, comprehension, and confidence.


  Learning Outcomes: Participants will be able to:


  1. Employ effective spontaneous communication skills in social, academic and professional settings


  2. Elaborate on their viewpoints and opinions in group discussions


  3. Construct clear and well-structured responses during impromptu conversations


  4. Apply appropriate turn-taking and active listening techniques in casual group discussions and more formal academic discussions
",September 27
Mechanical Engineering Donor Recognition Luncheon,Mechanical Engineering Office Building,"
  This event is to recognize the donors of the Mechanical Engineering Department.&#160;
  
  This event is by invitation only.
",September 27
Graduate Consulting Career Series 5: Case Continued,,"
  Hybrid event: Both in-person (Nagle Hall) and online at tx.ag/Con54
",September 27
Career Center presents: Graduate Consulting Career Series 5: Case Continued,,"
  Online event: tx.ag/Con54
",September 27
Outdoor Pool,,,September 27
Academic Support Essay Writing Workshop,Rms 201 &amp; 202,"
  Academic Support Essay Writing Workshop
  September 27, 2024
  12:15 - 1:30 pm
  Rooms 201 &amp; 202
",September 27
Texas A&amp;M University Cross Country at Nuttycombe Wisconsin Invitational,"Madison, Wis., Zimmer Championship Course",,September 27
Texas A&amp;M University Cross Country at Nuttycombe Wisconsin Invitational,"Madison, Wis., Zimmer Championship Course",,September 27
ASA Social Hour: Sustainability Trivia!,Pavilion,"
  Faculty &amp; Staff social hour for Aggie Sustainability Alliance (ASA) members. Not a member yet? Complete the ASA Individual Checklist!
",September 27
HIST 481 Library Visit (McNamara),"Annex 405A , Evans Library",,September 27
Painting Social,,,September 27
Weak Cosmic Censorship Conjecture in Gedanken Experiments,Mitchell Institute for Fundamental Physics &amp; Astronomy,Speaker: Hong Lu (Tianjin University),September 27
Conversation Circle for English Language Proficiency,Blocker Building,"
  Register Here: https://ers.tamu.edu/event/7534
  
  Facilitators: Maria Hernandez, CTE-ELP Student Worker


  Description: Conversation Circle is a supportive space for practicing spoken English through group discussions on cultural topics, including American university culture. Participants improve spontaneous speaking, active listening, and conversational turn-taking. Through communication with speakers from a variety backgrounds, they acclimate to different accents. The sessions promote social connections, intercultural dialogue, and a sense of belonging. The goal is to enhance English fluency, comprehension, and confidence.


  Learning Outcomes:


  Participants will be able to:


  Employ effective spontaneous communication skills in social, academic and professional settings
  
  Elaborate on their viewpoints and opinions in group discussions
  
  Construct clear and well-structured responses during impromptu conversations
  
  Apply appropriate turn-taking and active listening techniques in casual group discussions and more formal academic discussions
  
",September 27
Math Learning Center Tutoring,"Evans 204E, Evans Library",,September 27
Howdy Week - Photos with Reveille &amp; Yell Leaders,Conference Center,"
  Howdy Week - Photos with Reveille X and the Yell Leaders
  Friday, September 27
  2:30 – 3:30 p.m.
  Conference Center
",September 27
BIOL 111 Library Visit (Hochman),"121A, Galveston",,September 27
ICF Open,,,September 27
CLGV 001 Library Visit (McBrien),"121A, Galveston",,September 27
OPEN,Mitchell Institute for Fundamental Physics &amp; Astronomy,,September 27
"ELP Practice Group for Instructors Fall 2024 (Session 4): Comprehension Checks, Body Language, and Phrasing",Blocker Building,"Register Here: https://ers.tamu.edu/event/10750&#160;


  Facilitators: Ginessa Payne, Center for Teaching Excellence


  Description: Fourth in a series of workshops for international graduate students, faculty, post-docs, and visiting scholars. Ensure communication with your audience by checking for comprehension and using appropriate body language. Speak fluently and clearly by pausing between thought groups.


  Learning Outcomes:


  Brainstorm some ways to check for audience comprehension. Identify gestures that reinforce the speaker’s message. Select appropriate places to pause in a text, based on grammatical structure.
",September 27
Penberthy North Hours,,,September 27
Omar Smith Tennis Center Hours,,,September 27
The Aggie Arthouse presents Close-Up (1990),Scoates Hall,,September 27
Pistol - Team Meeting,"Student Recreation Center, 187 Corrington Dr, College Station, TX 77843, USA",,September 27
Pistol - Team Meeting,"Student Recreation Center, 187 Corrington Dr, College Station, TX 77843, USA",,September 27
Howdy Week - Cowtown Kickoff,Second Rodeo,"
  Howdy Week - Cowtown Kickoff
  Friday, September 27
  5:30 – 9:30 p.m.
  Second Rodeo | 122 E Exchange Ave., #340, Fort Worth, TX 76164
  Tickets req’d
",September 27
Bracelet making event,Rudder Tower,,September 27
